year,age,gender,population
1960,10,Male,8563700
1960,10,Female,8310764
1960,15,Male,6620902
1960,15,Female,6617493
1960,20,Male,5268384
1960,20,Female,5513495
1960,25,Male,5311805
1960,25,Female,5548259
1960,30,Male,5801342
1960,30,Female,6090862
1960,35,Male,6063063
1960,35,Female,6431337
1960,40,Male,5657943
1960,40,Female,5940520
1960,45,Male,5345658
1960,45,Female,5516028
1960,50,Male,4763364
1960,50,Female,4928844
1960,55,Male,4170581
1960,55,Female,4402878
1960,60,Male,3405293
1960,60,Female,3723839
1960,65,Male,2859371
1960,65,Female,3268699
1960,70,Male,2115763
1960,70,Female,2516479
1960,75,Male,1308913
1960,75,Female,1641371
1960,80,Male,619923
1960,80,Female,856952
1960,85,Male,253245
1960,85,Female,384572
1960,90,Male,75908
1960,90,Female,135774
1970,0,Male,8685121
1970,0,Female,8326887
1970,5,Male,10411131
1970,5,Female,10003293
1970,10,Male,10756403
1970,10,Female,10343538
1970,15,Male,9605399
1970,15,Female,9414284
1970,20,Male,7729202
1970,20,Female,8341830
1970,25,Male,6539301
1970,25,Female,6903041
1970,30,Male,5519879
1970,30,Female,5851441
1970,35,Male,5396732
1970,35,Female,5708021
1970,40,Male,5718538
1970,40,Female,6129319
1970,45,Male,5794120
1970,45,Female,6198742
1970,50,Male,5298312
1970,50,Female,5783817
1970,55,Male,4762911
1970,55,Female,5222164
1970,60,Male,4037643
1970,60,Female,4577251
1970,65,Male,3142606
1970,65,Female,3894827
1970,70,Male,2340826
1970,70,Female,3138009
1970,75,Male,1599269
1970,75,Female,2293376
1970,80,Male,886155
1970,80,Female,1417553
1970,85,Male,371123
1970,85,Female,658511
1970,90,Male,186502
1970,90,Female,314929
1980,0,Male,8439366
1980,0,Female,8081854
1980,5,Male,8680730
1980,5,Female,8275881
1980,10,Male,9452338
1980,10,Female,9048483
1980,15,Male,10698856
1980,15,Female,10410271
1980,20,Male,10486776
1980,20,Female,10614947
1980,25,Male,9624053
1980,25,Female,9827903
1980,30,Male,8705835
1980,30,Female,8955225
1980,35,Male,6852069
1980,35,Female,7134239
1980,40,Male,5692148
1980,40,Female,5953910
1980,45,Male,5342469
1980,45,Female,5697543
1980,50,Male,5603709
1980,50,Female,6110117
1980,55,Male,5485098
1980,55,Female,6160229
1980,60,Male,4696140
1980,60,Female,5456885
1980,65,Male,3893510
1980,65,Female,4896947
1980,70,Male,2857774
1980,70,Female,3963441
1980,75,Male,1840438
1980,75,Female,2951759
1980,80,Male,1012886
1980,80,Female,1919292
1980,85,Male,472338
1980,85,Female,1023115
1980,90,Male,204148
1980,90,Female,499046
1990,0,Male,9307465
1990,0,Female,8894007
1990,5,Male,9274732
1990,5,Female,8799955
1990,10,Male,8782542
1990,10,Female,8337284
1990,15,Male,9020572
1990,15,Female,8590991
1990,20,Male,9436188
1990,20,Female,9152644
1990,25,Male,10658027
1990,25,Female,10587292
1990,30,Male,11028712
1990,30,Female,11105750
1990,35,Male,9853933
